brand_name,product_name,product_id,beauty_point_earned,price_range,price_by_combinations,url,active_date,default_category,categories,rating_types_str,average_rating,total_reviews,average_rating_by_types,total_recommended_count,total_repurchase_maybe_count,total_repurchase_no_count,total_repurchase_yes_count,total_in_wishlist
558_cosrx,Poreless Pad,101742,70,Rp 395.000,"""140 ml"": 395000",https://www.sociolla.com/toner/73400-poreless-pad,2023-06-22T03:52:24.617Z,Toner,Skincare; Treatment; Toner,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.750000000000001,3,"""star_effectiveness"": 4.666666666666667; ""star_packaging"": 5; ""star_texture"": 4.666666666666667; ""star_value_for_money"": 4.666666666666667",3,0,0,3,381
558_cosrx,AC Starter Set (AC Collection Calming Foam Cleanser + AC Collection Lightweight Soothing Moisturizer),78985,110,Rp 564.000,,https://www.sociolla.com/skincare/50643-ac-starter-set-ac-collection-calming-foam-cleanser-ac-collection-lightweight-soothing-moisturize,2022-12-29T07:31:51.069Z,Skincare,Skincare; Skin Care Set,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,0.0,0,,0,0,0,0,432
558_cosrx,One Step Green Hero Calming Pad,34738,50,Rp 299.900,""" 70 pads"": 299900",https://www.sociolla.com/toner/12225-one-step-green-hero-calming-pad,2023-03-20T04:38:45.134Z,Toner,Skincare; Treatment; Toner,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.539063146022076,563,"""star_effectiveness"": 4.4972067039106145; ""star_packaging"": 4.690941385435169; ""star_texture"": 4.655493482309125; ""star_value_for_money"": 4.3126110124333925",525,137,53,373,1721
558_cosrx,Pure Fit Cica Cleanser + Cream,83616,130,Rp 688.000,,https://www.sociolla.com/skin-care-set/55274-pure-fit-cica-cleanser-cream,,Skin Care Set,Skincare; Skin Care Set; Skin Care Set,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,0.0,0,,0,0,0,0,143
558_cosrx,Pure Fit Cica Cleanser + Serum,83613,120,Rp 648.000,,https://www.sociolla.com/face-serum/55271-pure-fit-cica-cleanser-serum,2022-09-01T08:00:11.680Z,Face Serum,Skincare; Treatment; Face Serum,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,0.0,0,,0,0,0,0,181
558_cosrx,Pure Fit Cica Cleanser + Toner,83612,110,Rp 569.000,,https://www.sociolla.com/toner/55270-pure-fit-cica-cleanser-toner,2022-09-01T08:00:42.699Z,Toner,Skincare; Treatment; Toner,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,0.0,0,,0,0,0,0,157
558_cosrx,BHA Blackhead Power Liquid,19796,60,Rp 315.000,"""100 ml"": 315000",https://www.sociolla.com/toner/10156-bha-blackhead-power-liquid,2023-03-31T09:02:06.916Z,Toner,Skincare; Treatment; Toner,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.396411338962605,1658,"""star_effectiveness"": 4.306393244873341; ""star_packaging"": 4.636911942098914; ""star_texture"": 4.501809408926418; ""star_value_for_money"": 4.140530759951749",1466,447,229,982,6463
558_cosrx,Advanced Snail Hydrogel Eye Patch,91700,70,Rp 399.000,"""60 patches"": 399000",https://www.sociolla.com/eye-mask/63358-advanced-snail-hydrogel-eye-patch,2022-04-30T15:56:14.676Z,Eye Mask,Skincare; Eye Care; Eye Mask,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.639423076923077,52,"""star_effectiveness"": 4.615384615384615; ""star_packaging"": 4.788461538461538; ""star_texture"": 4.826923076923077; ""star_value_for_money"": 4.326923076923077",51,15,1,36,1561
558_cosrx,Hyaluronic Acid Intensive Cream,6399,50,Rp 299.000,"""100 ml"": 299000",https://www.sociolla.com/face-cream-lotion/9594-hyaluronic-acid-intensive-cream,2022-05-03T14:48:06.502Z,Face Cream & Lotion,Skincare; Moisturizer; Face Cream & Lotion,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.5204545454545455,1100,"""star_effectiveness"": 4.63; ""star_packaging"": 4.467272727272727; ""star_texture"": 4.4763636363636365; ""star_value_for_money"": 4.508181818181818",1036,276,90,734,8334
558_cosrx,Hyaluronic Acid Hydra Power Essence,6398,50,Rp 299.000,"""100 ml"": 299000",https://www.sociolla.com/essence/10274-hyaluronic-acid-hydra-power-essence,2023-07-27T10:37:56.750Z,Essence,Skincare; Treatment; Essence,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.60364768683274,562,"""star_effectiveness"": 4.6138790035587185; ""star_packaging"": 4.761565836298932; ""star_texture"": 4.656583629893238; ""star_value_for_money"": 4.382562277580071",539,102,33,427,4646
558_cosrx,COSRX AHA BHA Clarifying Treatment Toner 30mL,98477,10,Rp 60.000,"""30ml"": 60000",https://www.sociolla.com/treatment/70135-cosrx-aha-bha-clarifying-treatment-toner-30ml,2022-11-17T11:01:08.284Z,Toner,Skincare; Treatment; Toner,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.667391304347826,115,"""star_effectiveness"": 4.643478260869565; ""star_packaging"": 4.678260869565217; ""star_texture"": 4.8; ""star_value_for_money"": 4.547826086956522",111,23,5,87,1577
558_cosrx,Sunny Snail Tone Up Cream,35777,50,Rp 299.000,,https://www.sociolla.com/face-cream-lotion/14021-sunny-snail-tone-up-cream,2022-04-30T15:54:03.866Z,Face Cream & Lotion,Skincare; Moisturizer; Face Cream & Lotion,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.4887261709773245,761,"""star_effectiveness"": 4.630331753554502; ""star_packaging"": 4.813403416557161; ""star_texture"": 4.4204993429697765; ""star_value_for_money"": 4.090670170827858",676,205,104,452,2858
