user_name,is_expert_reviewer,user_level,user_id,skin_types,age_range,is_repurchase,is_recommended,star_effectiveness,star_packaging,star_texture,star_value_for_money,source,created_at,total_likes,is_verified_purchase,details,duration_of_used,product_id,product_name,product_size
elvinae,False,Rising Star,62b0686aa8bb28fa0f0cc3d5,,19 - 24 th,maybe,yes,5,5,5,5,review-android,2023-07-21T08:48:25.706Z,0,True,"pake ini dari 2021, bagus banget. ga bikin muka greasy, lembapin dan pastinya cocok di muka aku hang berminyak, dia ga bikin muka ku makin berminyak dan ga bruntusan. terus dia juga affordable, yang aku suka dia ga bikin white cast. tapi karena dah pake lama rasanya pen coba yang lain, bukan karena dia ga bagus, cuma pen explore aja",More than 1 Year,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,
rafsanjanisaadah,False,SOCO Star,64b9facb1285860c84c80ec9,Kulit Normal;Aging,35 - 39 th,yes,yes,5,5,5,5,review-ios,2023-07-21T05:20:05.786Z,0,True,"Bought this product for my teenage daughter. Texture is very light and not sticky at all. 
I have tried it too and just love this product so much. It is very safe for teenage 12 years old , highly recommended.",Less than 1 Week,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
Emasari,False,Rising Star,5c1ab3423b351a3320d80a3b,Kulit Normal;Kulit Berminyak;Kulit Kombinasi;Stretch Mark;Jerawat;Aging;Kantung Mata;Dark Circle;Komedo,30 - 34 th,yes,yes,5,5,4,3,review-android,2023-07-20T10:35:24.270Z,0,False,"Secara tekstur seperti krim lotion yg mudah diratakan, finishnya cukup moisturizing yaaa, jd bisa banget buat skip moisturizer kalo pake sunscreen ini.",Less than 1 Week,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,
Bita---,False,Rising Star,641cc5f0a0bb5455599a7866,Kulit Kusam;Kantung Mata;Kulit Kombinasi,< 18 th,yes,yes,5,5,5,5,review-android,2023-07-20T04:48:07.938Z,0,True,"Ini sunscreen ringan banget sih, gampang diblend, ngelembabin juga. Cocok buat kulit kering. Terakhir kali beli sunscreen kulit ngelupas parah, pake ini jadi mendingan.",1 Week - 1 Month,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
KaylanaTsalisaa,False,Rising Star,63b2e4b84768061c12dd59e9,Kulit Kombinasi;Pori Besar;Kulit Kusam,< 18 th,maybe,yes,5,5,5,5,review-android,2023-07-20T00:42:31.853Z,0,True,cocok untuk dry skin karena setelah pakai agak sedikit oily. ada wangi wangi nyaa enak bgt. cukup untuk keluar ruangan dengan terik matahari yang cukup tinggi,Less than 1 Week,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
nysrinaw,False,SOCO Star,5c1ac15b3b351a3320faa85a,Kulit Berminyak;Skin Tightening;Jerawat;Aging;Pori Besar;Kulit Kusam;Komedo,25 - 29 th,yes,yes,5,5,4,3,review-android,2023-07-19T13:58:16.232Z,0,False,"udah ngabisin 1 tube utk sunscreen ini, dia baunya bau sunscreen pada umumnya, teksturnya creamy, finishnya emg agak sedikit ""berasa"" tp ga yg greasy bgt gt. proteksinya oke, di aku sih rngga pilling, yp utk repurchase engga dulu mengingat harganya):",1 - 3 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,
irenebitjoli,False,Rising Star,5da20bd8d548e76ca20e80dc,Kulit Kering;Kulit Kombinasi;Stretch Mark;Kulit Kusam;Komedo,19 - 24 th,yes,yes,4,4,4,4,review-ios,2023-07-19T13:01:54.114Z,0,True,"Been using this since 2020 and its always my go to sunscreen bcs its never irritating! Tapi makin lama, its feel uncomfortable bcs it felt too oily and heavy on my dry skin. Entah ga tau kenapa mungkin cuaca or kulit lagi sensitive aja. But overal its 4.0/5 for me! Looking forward to discover more sunscreen yg moisturizing and light",More than 1 Year,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
falish_a,False,Rising Star,646f5a8d5e42077cd285b729,Kulit Kering;Dark Circle;Komedo,< 18 th,maybe,yes,3,4,3,3,review-android,2023-07-19T08:26:43.348Z,0,True,"good, but lengket gituu jadi aku kurang suka, mungkin krn pyshical ya? jadi ada white cast dikit, habis itu bikin kusamm, tapi hasil ny glow finish dewy",1 - 3 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
Fiona123,False,Rising Star,6441e6f53ed6d959c1c65fe8,Kulit Normal;Kulit Berminyak,19 - 24 th,yes,yes,5,5,5,5,review-android,2023-07-19T06:26:47.747Z,0,True,NO WHITE CAST AT ALLL suka banget dan biasa aku pake ini buat base makeup juga cakep pollll no debat pokoknya suka banget bakal beli lagiii dehh love banget,3 - 6 Months,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,
SyafaahMaula,False,Rising Star,635d0aa1f1109b730c80a233,Kulit Kombinasi;Kulit Sensitif;Jerawat;Pori Besar;Komedo,19 - 24 th,yes,yes,5,5,5,5,review-android,2023-07-19T04:33:11.415Z,0,True,"aloe soothing sun cream bener-bener produk yang bagus sekali, mukaku jadi lebih lembab, dan tidak gampang kering, padahal pemakaian baru 2 hari tapi hasilnya sudah kelihatan, lovee banget sama produk yang satu ini",Less than 1 Week,19048,Aloe Soothing Sun Cream SPF 50+ PA+++,50 ml
